role,tp,fp,fn,tn,accuracy,precision,recall,f1_score
player,46093,1908,361,4662,0.9572080567290283,0.9602508281077478,0.9922288715718776,0.9759779789317665
goalkeeper,1069,260,877,50818,0.97855687990344,0.8043641835966893,0.5493319630010277,0.6528244274809161
referee,3301,127,1191,48405,0.9751433313216656,0.9629521586931156,0.7348619768477292,0.8335858585858585
