role,tp,fp,fn,tn,accuracy,precision,recall,f1_score
player,45427,2746,102,3553,0.9450490082580845,0.9429971145662508,0.9977596696610951,0.9696057714883354
goalkeeper,633,874,1284,49037,0.9583622752180289,0.42003981420039815,0.3302034428794992,0.3697429906542056
referee,2016,1,2366,47445,0.9543297059504515,0.9995042141794744,0.46006389776357826,0.630098452883263
