,precision,recall,f1-score,support
player,0.42003981420039815,0.3302034428794992,0.3697429906542056,1917.0
goalkeeper,0.9429971145662508,0.9993400356380755,0.9703513831037061,45457.0
referee,0.9995042141794744,0.46634281748785567,0.63596214511041,4323.0
accuracy,0.9299572509043078,0.9299572509043078,0.9299572509043078,0.9299572509043078
macro avg,0.7875137143153745,0.5986287653351434,0.6586855062894406,51697.0
weighted avg,0.9283303262966535,0.9299572509043078,0.9201176951881459,51697.0
