video,role,tp,fp,fn,tn,accuracy,precision,recall,f1_score
SNGS-137,player,733,20,0,69,0.975669099756691,0.9734395750332006,1.0,0.9865410497981157
SNGS-137,goalkeeper,17,9,20,776,0.9647201946472019,0.6538461538461539,0.4594594594594595,0.5396825396825398
SNGS-137,referee,43,0,9,770,0.9890510948905109,1.0,0.8269230769230769,0.9052631578947368
SNGS-138,player,1061,0,0,119,1.0,1.0,1.0,1.0
SNGS-138,goalkeeper,0,44,0,1136,0.9627118644067797,0.0,0.0,0.0
SNGS-138,referee,75,0,44,1061,0.9627118644067797,1.0,0.6302521008403361,0.7731958762886598
SNGS-139,player,885,0,0,103,1.0,1.0,1.0,1.0
SNGS-139,goalkeeper,52,0,0,936,1.0,1.0,1.0,1.0
SNGS-139,referee,51,0,0,937,1.0,1.0,1.0,1.0
SNGS-140,player,1133,65,0,63,0.9484536082474226,0.9457429048414023,1.0,0.9721149721149721
SNGS-140,goalkeeper,0,0,65,1196,0.9484536082474226,0.0,0.0,0.0
SNGS-140,referee,63,0,0,1198,1.0,1.0,1.0,1.0
SNGS-141,player,897,42,0,37,0.9569672131147541,0.9552715654952076,1.0,0.9771241830065359
SNGS-141,goalkeeper,0,0,37,939,0.9620901639344263,0.0,0.0,0.0
SNGS-141,referee,37,0,5,934,0.9948770491803278,1.0,0.8809523809523809,0.9367088607594937
SNGS-142,player,900,55,0,81,0.946911196911197,0.9424083769633508,1.0,0.9703504043126685
SNGS-142,goalkeeper,0,25,55,956,0.9227799227799228,0.0,0.0,0.0
SNGS-142,referee,56,0,25,955,0.9758687258687259,1.0,0.691358024691358,0.8175182481751825
SNGS-143,player,574,29,29,53,0.9153284671532846,0.9519071310116086,0.9519071310116086,0.9519071310116086
SNGS-143,goalkeeper,0,44,29,612,0.8934306569343066,0.0,0.0,0.0
SNGS-143,referee,38,0,15,632,0.9781021897810219,1.0,0.7169811320754716,0.8351648351648352
SNGS-144,player,797,30,0,95,0.9674620390455532,0.9637243047158404,1.0,0.981527093596059
SNGS-144,goalkeeper,0,95,30,797,0.8644251626898047,0.0,0.0,0.0
SNGS-144,referee,0,0,95,827,0.8969631236442517,0.0,0.0,0.0
SNGS-145,player,773,52,0,71,0.9419642857142857,0.936969696969697,1.0,0.967459324155194
SNGS-145,goalkeeper,0,42,52,802,0.8950892857142857,0.0,0.0,0.0
SNGS-145,referee,29,0,42,825,0.953125,1.0,0.4084507042253521,0.5800000000000001
SNGS-146,player,567,0,0,106,1.0,1.0,1.0,1.0
SNGS-146,goalkeeper,50,13,0,610,0.9806835066864784,0.7936507936507936,1.0,0.8849557522123894
SNGS-146,referee,43,0,13,617,0.9806835066864784,1.0,0.7678571428571429,0.8686868686868687
SNGS-147,player,466,57,0,33,0.8974820143884892,0.8910133843212237,1.0,0.9423660262891809
SNGS-147,goalkeeper,0,17,57,482,0.8669064748201439,0.0,0.0,0.0
SNGS-147,referee,16,0,17,523,0.9694244604316546,1.0,0.48484848484848486,0.653061224489796
SNGS-148,player,832,75,0,43,0.9210526315789473,0.9173098125689085,1.0,0.9568717653824037
SNGS-148,goalkeeper,0,0,14,936,0.9852631578947368,0.0,0.0,0.0
SNGS-148,referee,43,0,61,846,0.9357894736842105,1.0,0.41346153846153844,0.5850340136054422
SNGS-149,player,865,12,0,110,0.9878419452887538,0.9863169897377423,1.0,0.9931113662456945
SNGS-149,goalkeeper,0,43,12,932,0.9442755825734549,0.0,0.0,0.0
SNGS-149,referee,67,0,43,877,0.9564336372847011,1.0,0.6090909090909091,0.7570621468926554
SNGS-150,player,860,52,0,111,0.9491691104594331,0.9429824561403509,1.0,0.9706546275395034
SNGS-150,goalkeeper,0,41,52,930,0.9090909090909091,0.0,0.0,0.0
SNGS-150,referee,70,0,41,912,0.9599217986314761,1.0,0.6306306306306306,0.7734806629834254
SNGS-187,player,1272,0,0,129,1.0,1.0,1.0,1.0
SNGS-187,goalkeeper,47,7,0,1347,0.9950035688793719,0.8703703703703703,1.0,0.9306930693069307
SNGS-187,referee,75,0,7,1319,0.9950035688793719,1.0,0.9146341463414634,0.9554140127388536
SNGS-188,player,1496,138,0,11,0.9161094224924012,0.9155446756425949,1.0,0.9559105431309904
SNGS-188,goalkeeper,11,0,0,1634,1.0,1.0,1.0,1.0
SNGS-188,referee,0,0,138,1507,0.9161094224924012,0.0,0.0,0.0
SNGS-189,player,1042,141,0,23,0.8830845771144279,0.8808114961961115,1.0,0.9366292134831461
SNGS-189,goalkeeper,23,0,25,1158,0.9792703150912107,1.0,0.4791666666666667,0.647887323943662
SNGS-189,referee,0,0,116,1090,0.9038142620232172,0.0,0.0,0.0
SNGS-190,player,863,0,72,165,0.9345454545454546,1.0,0.9229946524064171,0.9599555061179088
SNGS-190,goalkeeper,49,60,0,991,0.9454545454545454,0.44954128440366975,1.0,0.6202531645569621
SNGS-190,referee,56,0,60,984,0.9454545454545454,1.0,0.4827586206896552,0.6511627906976745
SNGS-191,player,1069,93,0,0,0.9199655765920827,0.9199655765920827,1.0,0.9583146571044375
SNGS-191,goalkeeper,0,0,21,1141,0.9819277108433735,0.0,0.0,0.0
SNGS-191,referee,0,0,72,1090,0.9380378657487092,0.0,0.0,0.0
SNGS-192,player,922,130,0,36,0.8805147058823529,0.876425855513308,1.0,0.9341438703140831
SNGS-192,goalkeeper,36,0,0,1052,1.0,1.0,1.0,1.0
SNGS-192,referee,0,0,130,958,0.8805147058823529,0.0,0.0,0.0
SNGS-193,player,1024,102,0,43,0.9127459366980325,0.9094138543516874,1.0,0.9525581395348838
SNGS-193,goalkeeper,43,0,7,1119,0.9940119760479041,1.0,0.86,0.924731182795699
SNGS-193,referee,0,0,95,1074,0.9187339606501284,0.0,0.0,0.0
SNGS-194,player,1299,122,0,22,0.9154539154539154,0.9141449683321604,1.0,0.9551470588235293
SNGS-194,goalkeeper,22,0,0,1421,1.0,1.0,1.0,1.0
SNGS-194,referee,0,0,122,1321,0.9154539154539154,0.0,0.0,0.0
SNGS-195,player,1073,141,0,55,0.8888888888888888,0.8838550247116969,1.0,0.9383471797114123
SNGS-195,goalkeeper,55,0,0,1214,1.0,1.0,1.0,1.0
SNGS-195,referee,0,0,141,1128,0.8888888888888888,0.0,0.0,0.0
SNGS-196,player,906,120,0,33,0.886685552407932,0.8830409356725146,1.0,0.937888198757764
SNGS-196,goalkeeper,33,0,0,1026,1.0,1.0,1.0,1.0
SNGS-196,referee,0,0,120,939,0.886685552407932,0.0,0.0,0.0
SNGS-197,player,1170,106,0,37,0.9192688499619193,0.9169278996865203,1.0,0.9566639411283728
SNGS-197,goalkeeper,37,0,0,1276,1.0,1.0,1.0,1.0
SNGS-197,referee,0,0,106,1207,0.9192688499619193,0.0,0.0,0.0
SNGS-198,player,1193,129,0,70,0.9073275862068966,0.9024205748865356,1.0,0.9487077534791253
SNGS-198,goalkeeper,70,0,0,1322,1.0,1.0,1.0,1.0
SNGS-198,referee,0,0,129,1263,0.9073275862068966,0.0,0.0,0.0
SNGS-199,player,1205,62,0,61,0.9533132530120482,0.9510655090765588,1.0,0.9749190938511326
SNGS-199,goalkeeper,56,0,0,1272,1.0,1.0,1.0,1.0
SNGS-199,referee,5,0,62,1261,0.9533132530120482,1.0,0.07462686567164178,0.13888888888888887
SNGS-200,player,981,193,0,0,0.8356047700170358,0.8356047700170358,1.0,0.9104408352668213
SNGS-200,goalkeeper,0,0,52,1122,0.9557069846678024,0.0,0.0,0.0
SNGS-200,referee,0,0,141,1033,0.8798977853492334,0.0,0.0,0.0
